1.67,3.71,25.53,42.39
1.52,4.92,58.69,94.48
0.14,1.21,97.2,65.67
1.71,1.35,-66.75,89.65
-0.17,2.04,68.55,38.01
1.24,2.96,0.97,33.4
0.83,2.17,3.59,71.22
1.43,0.53,-8.8,136.04
1.08,0.08,62.5,126.27
0.06,5.46,125.59,-32.86
-0.63,2.76,40.31,-4.04
1.16,1.86,-20.25,85.52
1.02,4.24,73.65,26.32
0.68,5.55,121.79,51.15
1.29,0.31,22.23,137.61
1.44,2.65,-20.85,40.58
-0.32,0.47,136.02,-18.83
1.02,5.66,95.74,94.54
0.84,6.28,94.24,104.88
1.26,0.61,10.09,134.44
0.24,0.9,106.5,70.42
-0.52,3.34,22.45,-25.35
0.11,5.4,124.84,-28.97
0.35,3.58,42.01,-9.52
1.64,0.09,-14.67,140.1
0.24,1.2,90.71,74.97
-0.08,4.9,91.63,-61.55
1.58,0.58,-31.35,131.72
-0.05,2.24,53.97,40.49
0.31,2.5,29.9,44.14
-0.47,4.28,33.51,-73.03
0.95,1.76,0.07,92.96
-0.05,4.77,86.31,-59.3
0.89,1.43,16.67,107.1
0.14,2.11,50.61,54.79
-0.1,2.51,44.64,28.16
0.82,0.81,55.42,117.78
0.44,2.92,24.12,24.71
1.62,3.56,20.56,36.8
0.98,4.85,97.35,47.34
1.54,1.82,-51.05,74.04
1.58,1.97,-51.27,64.15
-0.14,3.28,30.16,-11.91
0.44,4.07,66.75,-17.25
0.3,1.95,47.61,68.21
-0.7,1.9,85.71,-4.14
0.95,5.46,104.58,76.91
1.06,5.23,97.04,75.4
-0.58,2.93,33.29,-8.0
-0.63,5.1,56.29,-104.06
0.86,4.46,87.51,20.02
1.73,2.09,-56.46,50.4
1.12,5.74,83.57,107.4
-0.29,2.73,40.4,10.91
0.33,5.4,128.16,-1.03
0.85,4.95,105.46,39.06
1.71,0.82,-56.96,116.75
-0.66,5.0,47.93,-103.96
1.07,3.75,47.2,20.76
1.58,2.62,-27.76,38.06
0.49,0.72,95.3,91.93
1.18,5.56,82.12,103.78
-0.72,1.51,103.37,-17.64
0.95,5.12,103.78,58.32
0.96,2.65,0.25,45.62
-0.5,3.06,29.51,-11.02
-0.51,4.13,26.23,-67.3
-0.69,2.17,71.31,0.03
0.67,0.19,103.29,95.09
0.6,4.5,91.77,-2.36
0.48,5.81,131.28,40.09
-0.42,2.33,60.23,16.8
1.11,0.66,27.36,130.94
-0.12,2.61,41.65,23.06
0.27,1.4,77.44,77.67
1.68,2.8,-22.04,31.97
0.25,3.99,58.3,-27.7
-0.73,2.3,64.13,-2.35
1.34,2.38,-26.38,53.65
0.53,2.24,22.96,63.45
1.13,5.18,91.67,79.25
-0.67,5.54,76.04,-107.72
0.58,0.22,110.25,86.58
-0.21,3.56,30.3,-29.31
-0.15,3.32,30.06,-14.41
0.61,5.73,125.4,52.39
1.39,1.88,-39.08,77.56
-0.47,4.73,52.63,-88.42
0.43,1.44,61.96,88.41
0.17,1.26,92.48,69.01
-0.19,1.46,100.75,36.29
-0.54,4.94,56.86,-96.55
1.22,3.58,34.37,25.97
0.04,5.89,137.54,-15.58
-0.47,2.68,43.86,5.19
-0.29,0.94,126.19,8.69
0.71,2.41,10.23,57.25
-0.18,3.13,30.62,-4.92
0.53,2.78,19.98,34.26
-0.18,5.42,112.3,-62.92
-0.22,3.12,30.52,-5.61
0.4,2.1,35.15,66.41
-0.42,1.5,104.45,13.44
-0.63,2.99,30.45,-11.92
0.64,0.75,78.87,105.46
-0.74,6.18,100.09,-99.06
1.7,5.37,27.76,124.23
-0.46,2.87,36.13,-1.44
1.19,5.98,66.72,122.47
0.2,4.63,90.74,-37.53
0.93,3.72,47.98,14.05
0.38,4.95,111.72,-12.94
-0.64,3.48,16.46,-35.02
0.96,1.94,-4.08,83.61
0.68,3.85,56.9,-0.01
0.39,3.65,45.29,-10.33
-0.4,6.27,129.58,-55.57
0.97,0.86,34.52,124.1
1.33,3.61,32.92,29.94
1.07,5.54,93.38,93.1
0.33,5.21,121.86,-9.35
0.02,4.88,96.24,-52.32
-0.47,1.64,98.13,11.69
1.71,3.03,-10.41,30.19
-0.59,2.41,57.9,5.45
-0.71,1.71,94.94,-9.78
1.41,4.11,53.51,46.87
0.79,5.8,112.96,77.7
-0.2,0.41,138.08,-5.62
1.66,4.89,45.39,100.16
1.73,4.05,34.55,58.39
1.25,2.02,-27.43,74.57
-0.6,3.09,27.25,-15.2
-0.78,5.09,39.6,-111.09
1.02,6.18,78.47,116.93
0.47,0.24,118.38,74.8
-0.43,1.58,100.64,14.35
0.36,0.3,123.94,64.02
-0.62,0.3,122.2,-67.27
0.96,1.67,1.36,97.38
-0.05,5.81,133.54,-31.78
1.59,5.07,49.49,106.22
1.01,1.47,2.34,106.62
-0.7,3.24,20.43,-24.28
0.88,0.09,85.89,111.65
0.53,0.33,110.09,85.16
0.0,1.23,104.38,51.84
0.59,4.75,103.76,3.33
0.84,0.64,62.39,118.81
1.4,6.12,32.65,136.71
1.08,5.11,95.3,70.73
-0.5,1.55,102.84,6.48
1.56,3.36,12.27,32.18
0.97,0.21,69.57,121.79
0.53,3.74,50.66,-6.23
1.71,2.92,-16.46,30.35
-0.52,0.78,127.78,-28.59
-0.06,0.65,131.55,25.44
1.67,0.57,-42.64,128.71
1.71,3.25,1.55,31.85
0.74,4.13,72.14,3.67
1.28,1.94,-30.17,78.08
-0.15,5.67,124.78,-50.87
-0.18,1.37,105.05,35.66
1.25,1.56,-24.89,99.52
1.22,3.91,51.86,30.49
1.67,2.28,-46.5,45.8
0.51,5.68,129.82,36.87
1.34,1.35,-29.81,107.72
0.75,5.26,115.89,43.78
0.18,5.53,130.82,-14.43
-0.69,3.25,20.37,-24.53
-0.32,5.37,99.85,-78.95
0.26,4.33,76.39,-32.48
0.45,0.01,126.72,61.82
-0.41,3.52,23.9,-32.54
0.01,3.0,31.47,8.08
-0.25,1.86,81.17,33.68
0.28,3.87,53.32,-22.76
-0.27,5.31,100.58,-75.01
0.53,5.92,128.44,52.61
0.53,2.14,25.2,68.46
-0.4,4.27,38.17,-70.1
0.05,4.31,66.91,-47.32
0.03,4.12,56.63,-43.95
1.32,4.73,74.85,70.6
-0.18,5.18,100.21,-68.14
-0.52,0.31,128.42,-54.2
-0.4,0.35,134.14,-36.24
-0.6,2.53,51.64,2.93
-0.74,6.09,96.25,-102.18
-0.17,2.55,44.95,23.4
1.65,3.22,1.83,31.41
-0.46,0.76,129.6,-21.93
1.36,2.36,-28.06,54.03
1.43,0.42,-3.09,138.02
1.72,4.24,39.37,67.58
0.12,2.28,44.82,47.45
-0.73,2.79,38.24,-8.8
1.64,0.24,-22.68,138.19
1.38,1.9,-38.16,76.85
0.91,0.05,84.33,112.95
0.89,4.37,82.77,19.87
0.07,3.64,39.44,-23.59
0.68,0.07,107.11,91.57
0.25,6.01,138.31,20.0
1.3,3.05,3.51,31.44
0.85,1.37,23.51,108.42
0.98,2.99,10.72,30.9
0.29,2.85,27.41,24.68
0.57,5.8,127.2,51.18
-0.37,5.58,106.43,-79.43
0.84,5.01,107.32,40.95
0.23,5.01,111.43,-27.91
-0.53,2.79,39.23,-1.03
0.67,5.43,121.49,43.39
0.67,5.98,118.75,73.13
-0.15,1.01,120.92,28.83
1.5,5.22,55.92,109.05
0.96,2.16,-5.66,71.64
-0.11,1.45,98.06,44.1
1.25,4.57,76.32,57.04
0.03,2.96,31.59,10.89
0.16,2.3,42.19,48.35
0.55,2.89,20.75,28.78
